NOM;DOSAGE1;FORME
TRUSOPT;2;COLLYRE
ZOLADEX 10.8 MG;10.8;IMPLANT INJECTABLE
MEDIVEINE;600;COMPRIME PELLICULE
ZANTAC;75;COMPRIME EFFERVESCENT
QUIETUDE;;SIROP
RECOFOL;10;EMULSION INJECTABLE
NICOPATCH;14;DISPOSITIF TRANSDERMIQUE
NICOPATCH;21;DISPOSITIF TRANSDERMIQUE
HIBOR 10000 UI ANTI XA;10000;SOLUTION INJECTABLE
PANFUREX;4;SUSPENSION BUVABLE
CEFTRIAXONE MYLAN IV 500 MG/5 ML;500;POUDRE POUR SOLUTION INJECTABLE
CARDINOR;6.25;COMPRIME
CARDINOR;6.25;COMPRIME
AMUCHIN 10;0.11 / 1.8;SOLUTION POUR APPLICATION LOCALE
TAVANIC;500;SOLUTION POUR PERFUSION
DAILY GÉ;0.05 / 0.03;COMPRIME ENROBE
CIPROFLOXACINE MYLAN 200 MG/100 ML;200;SOLUTION POUR PERFUSION
RHINATHIOL ENFANT ET NOURRISSON;2;SIROP
FOLINATE DE CALCIUM AGUETTANT 50 MG;50;POUDRE POUR SOLUTION INJECTABLE
R.O.R / TRIMOVAX;;POUDRE POUR SUSPENSION INJECTABLE
SOLIAN 100 MG/ML;100;SOLUTION BUVABLE
SOLIAN 100 MG/ML;100;SOLUTION BUVABLE
ZILDAM;20;SUPPOSITOIRE
TAREG;80;COMPRIME PELLICULE
GYNO CANESTEN;200;COMPRIME GYNECOLOGIQUE
HEMOPUR AC1;;SOLUTION POUR HEMODIALYSE
EQUORAL;50;CAPSULE MOLLE
ACTIVAROL C100;100 / 0.003;SOLUTION BUVABLE
PRAVATOR;20;COMPRIME SECABLE
GONAL-F 150 UI;150;POUDRE POUR SOLUTION INJECTABLE
A-GRAM;250;POUDRE POUR SUSPENSION BUVABLE
NASACORT;55;SUSPENSION POUR PULVERISATION NASALE
SOTALEX;160;COMPRIME SECABLE
CLIMASTON;1 / 5;COMPRIME PELLICULE
ACEPRIL;2;COMPRIME
ACEPRIL;2;COMPRIME
LORAZEPAM PHARMA;2.5;COMPRIME
CO-OLMETEC;20 / 12.5;COMPRIME PELLICULE
CO-OLMETEC;20 / 12.5;COMPRIME PELLICULE
IMODIUM;2;GELULE
TETRAXIM;;PREPARATION INJECTABLE
GELUPRANE;500;GELULE
LETROZOL GT;2.5;COMPRIME SECABLE
LETROZOL GT;2.5;COMPRIME SECABLE
MELIX;5;COMPRIME
CLAVULIN;1 / 200;POUDRE POUR SOLUTION INJECTABLE
NOLVADEX;10;COMPRIME PELLICULE
SANDOSTATINE *;100;SOLUTION INJECTABLE
BIAFINE;0.67;EMULSION POUR APPLICATION LOCALE
SUPRIMASE;50;GELULE
UNASYN;375;COMPRIME ENROBE
FOLINATE DE CALCIUM AGUETTANT 50 MG;50;POUDRE POUR SOLUTION INJECTABLE
SINGULAIR;4;GRANULE
ELOXATINE 5 MG/ML;50;POUDRE POUR SOLUTION POUR PERFUSION
SANDOCAL;500;POUDRE POUR SUSPENSION BUVABLE
TOPAAL;200 / 30;COMPRIME A CROQUER
STIMOL;1;SOLUTION BUVABLE
OSSOPAN;600;COMPRIME PELLICULE
INALAP 5 MG;5;COMPRIME
VACCIN ATNTIDIPHTERIQUE ANTITETANIQUE;;PREPARATION INJECTABLE
NOMYC;150;GELULE
NOMYC;150;GELULE
CORTIVENT;50;SUSPENSION POUR INHALATION
CORTIVENT;50;SUSPENSION POUR INHALATION
CATAFLAM;50;COMPRIME ENROBE
OXONE 1G/5 ML IM;1;POUDRE POUR PREPARATION INJECTABLE
SULFOBACTIN;500;COMPRIME
TRIATEC;1.25;COMPRIME SECABLE
CANDICID;150;GELULE
TRINOMYC;2;SOLUTION POUR PERFUSION
SPASMAG;1.2 / 100;SOLUTION BUVABLE
DOXINE;100;COMPRIME ENROBE
GONAL-F 150 UI;150;POUDRE POUR SOLUTION INJECTABLE
DOPAMINE AGUETTANT 40MG/ML;40;SOLUTION POUR PERFUSION
AVIRANZ;200;GELULE
CISPLATINE EBEWE;50;SOLUTION POUR PERFUSION
ALGANTIL;200;COMPRIME ENROBE
GASTROGRAFINE;370;SOLUTION BUVABLE OU RECTALE
TILCOTIL;20;SUPPOSITOIRE
PREMOCEFAL;500;POUDRE POUR SUSPENSION BUVABLE
MIBRAL;5;COMPRIME
SOLIAN 100 MG;100;COMPRIME SECABLE
SOLIAN 100 MG;100;COMPRIME SECABLE
COLPOTROPHINE;10;CAPSULE VAGINALE
CARTEOL LP;1;COLLYRE LP
BREXIN;20;COMPRIME EFFERVESCENT
