NOM;DOSAGE1;FORME
FURILAN;20;SOLUTION INJECTABLE
NUPENTIN;400;GELULE
CLARTEC;10;COMPRIME
GLUCOSE 5% LAPROPHAN;5;SOLUTION POUR PERFUSION
HUMEX EXPECTORANT ENFANTS ET NOURRISONS;2;SIROP
COVERSYL;5;COMPRIME PELLICULE SECABLE
ARGO;500 / 267;SUSPENSION BUVABLE
ARGO;500 / 267;SUSPENSION BUVABLE
CLOMITER;1;SOLUTION POUR APPLICATION LOCALE
SEROPLEX;10;COMPRIME PELLICULE SECABLE
SEROPLEX;10;COMPRIME PELLICULE SECABLE
PARACETAL;500;COMPRIME SECABLE
INDOLAN;25;GELULE
MELOXICAM GT;7.5;COMPRIME
MELOXICAM GT;7.5;COMPRIME
PANSORAL;1.3 / 1.5;GEL BUCCAL
CISPLATINE MYLAN;10;SOLUTION POUR PERFUSION
RISPERDAL;4;COMPRIME PELLICULE SECABLE
RISPERDAL;4;COMPRIME PELLICULE SECABLE
MOBIC;7.5;SUPPOSITOIRE
AVONEX 30 µG;30;SOLUTION INJECTABLE
LIDOCAINE 2% LAPROPHAN;2;SOLUTION INJECTABLE
ROCEPHIN;2;POUDRE POUR PERFUSION
INSULINE ACTRAPID HM PENFILL;100;SOLUTION INJECTABLE
SORBHEPATIC;1.5 / 0.05;COMPRIME EFFERVESCENT
NIFROZID;200;GELULE
BAYCUTENE N;1 / 40;CREME
CORTANCYL;1;COMPRIME
BETADINE;8.5;SOLUTION POUR BAIN DE BOUCHE
PHARMADIPINE;10;CAPSULE
BIPERIDYS 20MG;20;COMPRIME PELLICULE SECABLE
BIPERIDYS 20MG;20;COMPRIME PELLICULE SECABLE
OROKEN;100;POUDRE POUR SUSPENSION BUVABLE
TECPRIL;5;GELULE
CLIMASTON;1 / 10;COMPRIME PELLICULE
ROCEPHIN IV;250;POUDRE POUR SOLUTION INJECTABLE
CANAFLUCAN;50;GELULE
CANAFLUCAN;50;GELULE
THROMBOPAT;250;COMPRIME PELLICULE
TRIXAZOL FORT;400 / 80;COMPRIME
NOVOCLIN;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
PIPORTIL L4;25;SOLUTION INJECTABLE
PIPORTIL L4;25;SOLUTION INJECTABLE
LORACTYNE;0.1;SIROP
LORACTYNE;0.1;SIROP
MUXOL;30;COMPRIME
CHAMPIX;0.5;COMPRIME PELLICULE
CHAMPIX;0.5;COMPRIME PELLICULE
HYPNOMIDATE;2;SOLUTION INJECTABLE
AUGMENTIN;1 / 125;POUDRE POUR SUSPENSION BUVABLE
FLUSKIN NEOMYCINE;0.05 / 0.05;POMMADE
PEVARYL;1;EMULSION POUR APPLICATION LOCALE
ACTI-5;100 / 25;SOLUTION BUVABLE
EMLA 5%;5 / 5;CREME
HEPT-A-MYL;30.5;SOLUTION POUR GOUTTES BUVABLES
NEORAL;100;SOLUTION BUVABLE
KOGENATE 500 UI;500;POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE MYLAN;500;POUDRE POUR SOLUTION INJECTABLE
ALDACTAZINE;25 / 15;COMPRIME ENROBE SECABLE
GENTALLINE;40;SOLUTION INJECTABLE
ONSET;8;SOLUTION INJECTABLE
ONSET;8;SOLUTION INJECTABLE
SODIUM CHLORURE PROMOPHARM;0.9;SOLUTION POUR PERFUSION
VENTOLINE;5;SOLUTION POUR INHALATION PAR NEBULISEUR
ELVORINE;100;PREPARATION INJECTABLE
ZAMOX;1 / 125;POUDRE POUR SUSPENSION BUVABLE
EFDOL;350;SUPPOSITOIRE
HEMOPUR B1;;SOLUTION POUR HEMODIALYSE
MIRCERA 250 µG/0.3 ML;250;SOLUTION INJECTABLE
CLARIL;500;COMPRIME
ERLUS 5 MG;5;COMPRIME PELLICULE
DISPAMOX 125 MG;125;POUDRE POUR SUSPENSION BUVABLE
LILLYPEN NPH;100;SUSPENSION INJECTABLE INTERMEDIAIRE
VALEX 500 MG;500;COMPRIME ENROBE
VALEX 500 MG;500;COMPRIME ENROBE
SEROHALE 125 µG;25 / 125;SUSPENSION POUR INHALATION BUCCALE
SEROHALE 125 µG;25 / 125;SUSPENSION POUR INHALATION BUCCALE
ZECLAR;25;GRANULE POUR SUSPENSION BUVABLE
ZECLAR;25;GRANULE POUR SUSPENSION BUVABLE
BICALUTAMIDE GT 150 MG;150;COMPRIME PELLICULE
BICALUTAMIDE GT 150 MG;150;COMPRIME PELLICULE
CELEBREX;200;GELULE
ICANAL;20;COMPRIME
DIFRAREL E;50 / 50;COMPRIME ENROBE
DUSPATALIN;200;GELULE
DUSPATALIN;100;COMPRIME ENROBE
COAPROVEL;300 / 12.5;COMPRIME ENROBE GASTRO-RESISTANT
LYRICA;50;GELULE
STALEVO 150/37.5/200 MG;200 / 150 / 40.50;COMPRIME PELLICULE
STALEVO 150/37.5/200 MG;200 / 150 / 40.50;COMPRIME PELLICULE
TRAMAL;50;GELULE
ART 50;50;GELULE
ART 50;50;GELULE
VIVACALCIUM;;SOLUTION BUVABLE
PRAVASTATINE GT;20;COMPRIME
MABTHERA;100;SOLUTION A DILUER POUR PERFUSION
AZ;500;COMPRIME SECABLE
DILOVAC;6.25;COMPRIME SECABLE
HYDERGINE;4.5;COMPRIME SECABLE
ACIVIR;800;COMPRIME
DESFERAL;0.5;POUDRE POUR SOLUTION INJECTABLE
POLYSILANE;2.25;GEL ORAL
POLYSILANE SANS SUCRE;2.25;GEL ORAL
DEPAKINE;200;SIROP
STAGID;280;COMPRIME SECABLE
MIOREL;4;SOLUTION INJECTABLE
POSICYCLINE;0.05;POMMADE OPHTALMIQUE
AULIN;100;GRANULE POUR SUSPENSION BUVABLE
FORMOTEROL SMB 12 µG;12;POUDRE POUR INHALATION
INSULINE INSULATARD HM;100;SUSPENSION INJECTABLE INTERMEDIAIRE
ETOPOSIDE EBEWE;20;SOLUTION A DILUER POUR PERFUSION
FLIXOTIDE DISKUS;100;SUSPENSION POUR INHALATION
SANMIGRAN;0.5;COMPRIME ENROBE
SYNTOCINON;5;SOLUTION INJECTABLE
RIACEN;1;CREME
TOPLEXIL;0.033 / 0.666;SIROP
ZITHROMAX;500;COMPRIME
MOTILIUM;1;SUSPENSION BUVABLE
ZOCOR;20;COMPRIME ENROBE SECABLE
ARACYTINE;500;POUDRE POUR SOLUTION INJECTABLE
ARACYTINE;500;POUDRE POUR SOLUTION INJECTABLE
ADO;500;COMPRIME PELLICULE
CLOFENE;100;SUPPOSITOIRE
PIROCAM SOTHEMA 20 MG/ML;20;SOLUTION INJECTABLE
PIROCAM SOTHEMA 20 MG/ML;20;SOLUTION INJECTABLE
CANAFLUCAN;150;GELULE
CANAFLUCAN;150;GELULE
OLMETEC;10;COMPRIME PELLICULE
XYLATIN 100;100;POUDRE POUR SOLUTION POUR PERFUSION
GAVISCON NOURRISSON;500 / 267;SUSPENSION BUVABLE
CUTACNYL;10;GEL
EOSINE AQUEUSE;2;SOLUTION POUR APPLICATION LOCALE
DICLOMAX;25;COMPRIME GASTRO-RESISTANT
FONZYLANE;50;SOLUTION INJECTABLE
ESAC 40 MG;40;GELULE
ESAC 40 MG;40;GELULE
ESTRACYT;140;GELULE
FONGICAN 150 MG;150;GELULE
ALER Z;10;COMPRIME PELLICULE
DOPEZIL RANBAXY;5;COMPRIME PELLICULE
REDLIP;20;COMPRIME ENROBE SECABLE
REDLIP;20;COMPRIME ENROBE SECABLE
DOLMAX F.T. 125;125;COMPRIME ORODISPERSIBLE
LEPONEX;25;COMPRIME SECABLE
MACROMAX;300;POUDRE POUR SUSPENSION BUVABLE
MACROMAX;300;POUDRE POUR SUSPENSION BUVABLE
RENITEC;20;COMPRIME SECABLE
RETACNYL;0.025;CREME
RHINATHIOL ADULTES EXPECTORANT;5;SIROP
PIMAFUCORT;0.2 / 1250;POMMADE
SPASMOPAN;20;SOLUTION INJECTABLE
GLIMEWIN;4;COMPRIME
GLIMEWIN;4;COMPRIME
CARDINOR;6.25;COMPRIME
CARDINOR;6.25;COMPRIME
ALFAPROXINE;750;COMPRIME PELLICULE
ALFAPROXINE;750;COMPRIME PELLICULE
FLOXAPEN;250;POUDRE POUR SUSPENSION BUVABLE
PRINCI-B FORT;50 / 250;COMPRIME PELLICULE
BETADINE TULLE;10;PANSEMENT MEDICAMENTEUX
SPASMAG;59 / 50;GELULE
FINASTERIDE GT 5MG;5;COMPRIME PELLICULE
TERBINAFINE GT;250;COMPRIME SECABLE
TERBINAFINE GT;250;COMPRIME SECABLE
DRAMAMINE;50;COMPRIME PELLICULE QUADRISECABLE
VOMISTOP 0.1 %;0.1;SOLUTION BUVABLE
AUREOMYCINE 3%;3;POMMADE
ELUDRIL;0.5 / 0.5;SOLUTION POUR BAIN DE BOUCHE
DETENSIEL;10;COMPRIME PELLICULE SECABLE
BRONCHOKOD;2;SIROP
HEMOPUR B1;;SOLUTION POUR HEMODIALYSE
LIPISTAT;20;COMPRIME ENROBE
LIPISTAT;20;COMPRIME ENROBE
THIAM 250 MG/5ML;250;GRANULE POUR SUSPENSION BUVABLE
THIAM 250 MG/5ML;250;GRANULE POUR SUSPENSION BUVABLE
STAGID;280;COMPRIME SECABLE
TRINOMYC;2;SOLUTION POUR PERFUSION
TOPIRAMATE GT 50 MG;50;COMPRIME PELLICULE
BIOTONE;3.36 / 0.28;SOLUTION BUVABLE
CIVASTINE;20;COMPRIME ENROBE
AMUCHUN 5;0.055 / 0.9;SOLUTION POUR APPLICATION LOCALE
OLICLINOMEL N7-1000E;;SOLUTION ET EMULSION POUR PERFUSION
OLICLINOMEL N7-1000E;;SOLUTION ET EMULSION POUR PERFUSION
DIPICOR;5;COMPRIME
FURADANTINE;50;GELULE
ULCIDINE;40;COMPRIME SECABLE
FENOGAL;200;GELULE
NIFARM;10;CAPSULE
NAVELBINE;30;CAPSULE MOLLE
BONEFOS 800 MG;800;COMPRIME PELLICULE
ACTEMRA 80MG/4ML;80;SOLUTION A DILUER POUR PERFUSION
DICLOMAX;100;GELULE LP
ACULAR;0.5;COLLYRE
PROGESTOGEL;1;GEL
GLUCOSE 5% SOTHEMA;5;SOLUTION POUR PERFUSION
ARTELAC;3.20;COLLYRE
ONGECIN;200;POUDRE POUR SOLUTION POUR PERFUSION
ATENOR;100;COMPRIME SECABLE
CHRONO-INDOCID;75;GELULE
PEGASYS;135;SOLUTION INJECTABLE
COLLUXID;100 / 250;SOLUTION POUR BAIN DE BOUCHE
PREDNI 20;20;COMPRIME EFFERVESCENT
OSPAMOX;1;COMPRIME DISPERSIBLE
RIACEN;20;GELULE
REQUIP 0.25 MG;0.25;COMPRIME PELLICULE
FLOXAM;250;PREPARATION INJECTABLE
VISCERALGINE;20;SUPPOSITOIRE
METHERGIN;0.125;COMPRIME PELLICULE
AMOXICILLINE LLORENTE;250;POUDRE POUR SUSPENSION BUVABLE
DICLOFENAC WIN 50 MG;50;COMPRIME ENROBE GASTRO-RESISTANT
CODOLIPRANE;400 / 20;COMPRIME SECABLE
PROFENID LP;200;COMPRIME LP
SELSUN;2.5;SUSPENSION POUR APPLICATION LOCALE
SUPRADYNE SANS SUCRE;;COMPRIME EFFERVESCENT
SUPRADYNE SANS SUCRE;;COMPRIME EFFERVESCENT
RILUTEK 50MG;50;COMPRIME PELLICULE
TRIVASTAL;50;COMPRIME LP
TETRACYCLINE LAPROPHAN;250;COMPRIME ENROBE
OKA-VINBLASTIN;10;POUDRE POUR SOLUTION INJECTABLE
HUMALOG;100;SOLUTION INJECTABLE
TENORMINE;5;SOLUTION INJECTABLE
FLOXIL;500;GELULE
METHOTREXATE BIODIM;5;SOLUTION INJECTABLE
MEFSAL;15;COMPRIME SECABLE
ESTROFEM;2;COMPRIME PELLICULE
MARVIL;10;COMPRIME
MARVIL;10;COMPRIME
BACTRIM;200 / 40;SUSPENSION BUVABLE
LOSARTAN GT;100;COMPRIME PELLICULE SECABLE
MEDIVEINE;300;COMPRIME PELLICULE
OEDES;20;GELULE
BONDRONAT 6MG/6ML;6;SOLUTION A DILUER POUR PERFUSION
BONDRONAT 6MG/6ML;6;SOLUTION A DILUER POUR PERFUSION
PARANTAL;650;SUPPOSITOIRE
CLARADOL PLUS;250 / 150;COMPRIME
GEPRID;1;COMPRIME
GEPRID;1;COMPRIME
CELLUVISC;4;COLLYRE
BAITANET D;10;SOLUTION POUR APPLICATION LOCALE
EXACYL;1;SOLUTION BUVABLE
FEMARA;2.5;COMPRIME PELLICULE
CURAM;500 / 125;COMPRIME ENROBE
CATAFLAM;25;COMPRIME ENROBE
METEOSPASMYL;60 / 300;CAPSULE MOLLE
REMOX;1;CREME
RAMIPRIL/HYDROCHLOROTHIAZIDE GT 2.5 MG/12.5 MG;2.5/12.5;COMPRIME
DUPHASTON;10;COMPRIME PELLICULE SECABLE
LEVITRA;20;COMPRIME PELLICULE
GONAL-F 75 UI;75;POUDRE POUR SOLUTION INJECTABLE
GONAL-F 75 UI;75;POUDRE POUR SOLUTION INJECTABLE
MYCOSTATINE;100000;SUSPENSION BUVABLE
ACTEMRA 200MG/10ML;200;SOLUTION A DILUER POUR PERFUSION
OMEGEN;10;GELULE GASTRO-RESISTANTE
FLUORESCEINE 10 % FAURE;10;SOLUTION INJECTABLE
ANTAGON H2;200;SOLUTION INJECTABLE
LOXEN;20;COMPRIME SECABLE
PROGOR;300;GELULE LP
COLTRAMYL;4;SOLUTION INJECTABLE
INSPRA 25 MG;25;COMPRIME PELLICULE
CHRONADALATE L.P;60;COMPRIME OSMOTIQUE LP
DOPEZIL RANBAXY;5;POUDRE POUR SUSPENSION INJECTABLE
OSMOSINE;1;SUSPENSION BUVABLE
OSMOSINE;1;SUSPENSION BUVABLE
FONZYLANE;150;COMPRIME PELLICULE
FONZYLANE;150;COMPRIME PELLICULE
APIDRA;100;SOLUTION INJECTABLE
SMECTA;3;POUDRE POUR SUSPENSION BUVABLE
THERMO-RHEUMON;10;CREME
TERALITHE;250;COMPRIME SECABLE
MAXIDROL;100 / 350000;COLLYRE
METRONIDAZOLE MYLAN;500;SOLUTION POUR PERFUSION
ARCOXIA;120;COMPRIME PELLICULE
NORMATENS 50MG;50;COMPRIME
NORMATENS 50MG;50;COMPRIME
KYTRIL;3;SOLUTION INJECTABLE
MICROPHYLLINE;100;GELULE LP
SILDENAFIL WIN 100 MG;100;COMPRIME PELLICULE
LIPISTAT;10;COMPRIME ENROBE
LIPISTAT;10;COMPRIME ENROBE
MINIRIN;0.2;COMPRIME
METRONIDAZOLE MYLAN;500;SOLUTION POUR PERFUSION
NOVOSEVEN 240 KUI *;4.8;POUDRE POUR SOLUTION INJECTABLE
CLAMOXYL;500;COMPRIME DISPERSIBLE
FLUCAZOL;150;GELULE
AXIMYCINE;1;COMPRIME DISPERSIBLE
ACIVIR;0.5;CREME
ACLAV;1 / 125;POUDRE POUR SUSPENTION BUVABLE
ASPEGIC AD;1;SOLUTION INJECTABLE
STARZOL;150;GELULE
DEXAMETHASONE MYLAN;20;SOLUTION INJECTABLE
HALOTHANE;100;SOLUTION POUR INHALATION
ULTIVA 5 MG;5;POUDRE POUR PREPARATION INJECTABLE
ULTIVA 5 MG;5;POUDRE POUR PREPARATION INJECTABLE
DUOVIR;150 / 300;COMPRIME PELLICULE
NEOMOX;1;COMPRIME DISPERSIBLE
PENICILLINE G SODIQUE PHARMA;5;POUDRE POUR PREPARATION INJECTABLE
TOTAPEN;500;POUDRE POUR SOLUTION INJECTABLE
CUSIMOLOL;0.5;COLLYRE
CUSIMOLOL;0.5;COLLYRE
MOPRAL;10;GELULE GASTRO-RESISTANTE
SOLUPRED;20;COMPRIME EFFERVESCENT
AVANDAMET;1 / 500;COMPRIME PELLICULE
AVANDAMET;1 / 500;COMPRIME PELLICULE
STAPHYPEN;500;GELULE
GYNO CANESTEN;100;COMPRIME GYNECOLOGIQUE
FLUVIC ENFANT;2;SIROP
ORACEFAL;1;COMPRIME DISPERSIBLE
ZOTROL;50;COMPRIME SECABLE
RHINATHIOL PROMETHAZINE;100 / 2.5;SIROP
MELOXAM 15 MG PROMOPHARM;15;COMPRIME
NICOPASS 1.5 MG SANS SUCRE MENTHE FRAICHEUR;1.5;PASTILLE A SUCER
NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE;1.5;PASTILLE A SUCER
STREPTOCID;500;POUDRE POUR SUSPENSION BUVABLE
STREPTOCID;500;POUDRE POUR SUSPENSION BUVABLE
ATROPINE PROMOPHARM 0,25 MG;0.25;SOLUTION INJECTABLE
WELLBUTRIN XR 300 MG;300;COMPRIME PELLICULE LM
WELLBUTRIN XR 300 MG;300;COMPRIME PELLICULE LM
VIRECTIL 100 MG;100;COMPRIME PELLICULE
AMPICILLINE LLORENTE;250;POUDRE POUR SUSPENSION BUVABLE
VASTAREL LM;35;COMPRIME PELLICULE LM
INDOBIOTIC;1 / 3000;COLLYRE
MEZOR 20 MG;20;GELULE GASTRO-RESISTANTE
INTRONA;30;SOLUTION INJECTABLE
DECADURABOLIN;25;SOLUTION INJECTABLE
ARGENT COLLOIDAL 5%;5;POMMADE
DIFLUCAN;150;GELULE
ENCIFER 100MG/5ML;100 / 5;SOLUTION INJECTABLE POUR PERFUSION
HYDRACORT;0.5;CREME
VIRLIX;10;SOLUTION POUR GOUTTES BUVABLES
TELEBRIX GASTRO;66.03;SOLUTION BUVABLE OU RECTALE
EFICAL;1;SOLUTION BUVABLE
CHLORURE DE SODIUM 0.9%;0.9;SOLUTION POUR PERFUSION
TRINORDIOL;0.05 / 0.03;COMPRIME ENROBE
STRATTERA 18 MG;18;GELULE
RADIOSELECTAN URINAIRE ET VASCULAIRE;76;SOLUTION INJECTABLE
RANITIL;150;COMPRIME PELLICULE
ANGLOR;5;COMPRIME
EPIVIR;150;COMPRIME PELLICULE
ROTARIX;0;POUDRE POUR SUSPENSION BUVABLE
ROTARIX;0;POUDRE POUR SUSPENSION BUVABLE
ANDRAXAN;250;COMPRIME ENROBE
NASONEX;50;SUSPENSION POUR PULVERISATION NASALE
BERTOCIL;0.5;COLLYRE
BETOPTIC;0.5;COLLYRE
BI-ALGAN;400 / 30;GELULE
ZOLTAN 50 MG;50;COMPRIME ENROBE SECABLE
EUSAPRIM FORT;4 / 800;SUSPENSION BUVABLE
GARDENAL;10;COMPRIME
PIROCAM SOTHEMA 20 MG/ML;20;SOLUTION INJECTABLE
PIROCAM SOTHEMA 20 MG/ML;20;SOLUTION INJECTABLE
FUNGILYSE;150;OVULE
BUSCOPAN;10;COMPRIME ENROBE
AERRANE;100;SOLUTION POUR INHALATION
AERRANE;100;SOLUTION POUR INHALATION
EPREX 10000 UI/ML;10000;SOLUTION INJECTABLE
INFANRIX IPV / HIB;;POUDRE ET SOLVANT POUR SUSPENSION INJECTABLE
FELDENE;20;COMPRIME DISPERSIBLE
ZYRDOL;500;COMPRIME
SARGENOR;1;COMPRIME EFFERVESCENT
CAPD/DPCA 2;;SOLUTION POUR DIALYSE PERITONEALE
STADIAR;2;GELULE
CHRONADALATE L.P;30;COMPRIME OSMOTIQUE LP
OROTREX;20;CAPSULE MOLLE
IRINOTECAN;100;SOLUTION A DILUER POUR PERFUSION
MILIPREL;3;COMPRIME
SERETIDE 125;125 / 25;SUSPENSION POUR INHALATION
ALTEC;5;GELULE
VIDAZA 25 MG/ML;100;POUDRE POUR SUSPENSION INJECTABLE
ACEPRIL PLUS;4 / 1.25;COMPRIME
ACEPRIL PLUS;4 / 1.25;COMPRIME
AVASTIN;400;SOLUTION A DILUER POUR PERFUSION
ULTRA-LEVURE 250MG;250;GELULE
GENTOSYL;160;SOLUTION INJECTABLE
GIROFLOX;200;SOLUTION INJECTABLE POUR PERFUSION
GIROFLOX;200;SOLUTION INJECTABLE POUR PERFUSION
PROGAST;20;GELULE
XENETIX 350;76.78;SOLUTION INJECTABLE
AGREAL;100;GELULE
MARCAINE 0,25 %;0.25;SOLUTION INJECTABLE
GEMCITABINE HOSPIRA 1 G;1;POUDRE POUR SOLUTION POUR PERFUSION
METRONIDAZOLE BIEFFE MEDITAL;500;SOLUTION POUR PERFUSION
DILATOR;2.5;SOLUTION POUR INHALATION PAR NEBULISEUR
DILATOR;2.5;SOLUTION POUR INHALATION PAR NEBULISEUR
TEGRETOL LP;200;COMPRIME PELLICULE SECABLE A LP
CISPLATINE EBEWE;10;SOLUTION POUR PERFUSION
RHEUMON;5;GEL
SEGLOR;5;GELULE
FIBROCARD LP;240;GELULE LP
VASOBRAL;4;COMPRIME SECABLE
BETNEVAL NEOMYCINE;0.1 / 0.35;CREME
TIMOLOL-POS;0.5;COLLYRE
LOXEN *;5;SOLUTION INJECTABLE
AMBATROL;200;GELULE
LYSANXIA;15;SOLUTION POUR GOUTTES BUVABLES
APROVEL;150;COMPRIME PELLICULE
DIALYSE PERITONEALE BIEFFE FORMULE 91;;SOLUTION POUR DIALYSE PERITONEALE
LEDERFOLINE;5;COMPRIME
ANGIMOLE 75 MG;75;COMPRIME DRAGEIFIE
BIOTIC PLUS;1 / 125;POUDRE POUR SUSPENSION BUVABLE
ZOVIRAX;3;POMMADE OPHTALMIQUE
GENTAGAM 40;40;SOLUTION INJECTABLE
PENAMOX;500;POUDRE POUR SUSPENSION BUVABLE
AVANDIA;4;COMPRIME PELLICULE
COQUELUSEDAL PARACETAMOL ENF;10 / 20 / 250;SUPPOSITOIRE
CHLORURE DE SODIUM 0.9%;0.9;SOLUTION POUR PERFUSION
PHARMAFLAM;75;SOLUTION INJECTABLE
NALGESIC;300;COMPRIME PELLICULE
S-CITAP 10 MG;10;COMPRIME PELLICULE
CICLOVIRAL;200;COMPRIME
TIMOPTOL;0.25;COLLYRE
MYCOSTATINE;100000;COMPRIME VAGINAL
INDUCTAN;0.787;GRANULE POUR SUSPENSION BUVABLE
ZAMOX;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
AZANTAX;30;SOLUTION A DILUER POUR PERFUSION
CLARTEC;0.1;SIROP
HYDREA;500;GELULE
DHE;2;SOLUTION POUR GOUTTES BUVABLES
ULTRA-LEVURE 250MG;250;POUDRE POUR SUSPENSION BUVABLE
MIOCAMEN;600;COMPRIME PELLICULE
PROGRAF;1;GELULE
PROGRAF;1;GELULE
MALANIL 250 MG/100 MG;250 / 100;COMPRIME PELLICULE
MALANIL 250 MG/100 MG;250 / 100;COMPRIME PELLICULE
FLEXEN IV;100;POUDRE POUR USAGE PARENTERAL
VALSARTAN WIN 80 MG;80;COMPRIME PELLICULE SECABLE
BI-TILDIEM LP;90;COMPRIME LP
BI-TILDIEM LP;90;COMPRIME LP
ZOLAM;15;GELULE
ZOLAM;15;GELULE
TELEBRIX 35;65.09 / 9.66;SOLUTION INJECTABLE
XENID;50;COMPRIME ENROBE GASTRO-RESISTANT
CO-TRIM FORT;800 / 160;COMPRIME
DOLIPRANE;1;SUPPOSITOIRE
DICLOMAX;50;COMPRIME GASTRO-RESISTANT
TELEBRIX HYSTERO;11.01;SOLUTION INJECTABLE
CIVASTINE;20;COMPRIME ENROBE
DAIVONEX;50;SOLUTION POUR APPLICATION LOCALE
NOVORAPID FLEXPEN;100;SOLUTION INJECTABLE
VITAIR;100;SUSPENSION POUR INHALATION BUCCALE
AXIMYCINE;250;POUDRE POUR SUSPENSION BUVABLE
GASTROLIBER;30;GELULE GASTRO-RESISTANTE
GENTAL;0.3;COLLYRE
TELEBRIX 30 MEGLUMINE;66.03;SOLUTION INJECTABLE
CATALGINE ENFANTS ET NOURRISSONS;100;POUDRE POUR SOLUTION BUVABLE
BOURGET INOSITOL;300 / 50;COMPRIME EFFERVESCENT
TOTIFEN;1;GELULE
LEVEMIR FLEXPEN;100;SOLUTION INJECTABLE LP
PRUREX;10;CREME
VFEND;50;COMPRIME ENROBE
EXODERIL;1;SOLUTION POUR APPLICATION LOCALE
WELLBUTRIN XR 150 MG;150;COMPRIME PELLICULE LM
WELLBUTRIN XR 150 MG;150;COMPRIME PELLICULE LM
FLOTEC;125;SUSPENSION POUR INHALATION BUCCALE
FLOTEC;125;SUSPENSION POUR INHALATION BUCCALE
AMAREL;1;COMPRIME
OSPAMOX;125;GRANULE POUR SUSPENSION BUVABLE
PREDNISOLONE WIN;20;COMPRIME EFFERVESCENT
PREDNISOLONE WIN;20;COMPRIME EFFERVESCENT
PROGAST;20;GELULE
UROBACID;400;COMPRIME ENROBE
NICOPATCH;7;DISPOSITIF TRANSDERMIQUE
BECONASE;50;SUSPENSION NASALE
ACNO 20 MG;20;CAPSULE MOLLE
HICONCIL;125;POUDRE POUR SUSPENSION BUVABLE
PYOCIADIM;1;POUDRE POUR PERFUSION
JANUMET;50 / 850;COMPRIME PELLICULE
MELOXAM 7.5 MG PROMOPHARM;7.5;COMPRIME
AMIKACINE MYLAN;500;POUDRE POUR SOLUTION INJECTABLE
LOMET;15;GELULE
NOVANTRONE;10;SOLUTION POUR PERFUSION
AZIX 900 MG;200;POUDRE POUR SUSPENSION BUVABLE
OSMOLAX;66;SOLUTION BUVABLE
BACTOX;1;POUDRE POUR SUSPENSION BUVABLE
FLECAINE;100;COMPRIME SECABLE
TRISULFA;4 / 800;SUSPENSION BUVABLE
BARALGIN M AD;1;SUPPOSITOIRE
CLOBEX 500 µG;500;SHAMPOOING
HIBOR 3500 UI ANTI XA;3500;SOLUTION INJECTABLE
XALGIX;325 / 32.5;COMPRIME
S-CORT 20 MG;20;COMPRIME EFFERVESCENT SECABLE
NIBIOL;100;COMPRIME ENROBE
NORACIN;400;COMPRIME ENROBE
REMOX;20;SUPPOSITOIRE
OXALIPLATINE WIN 5 MG/ML;100;POUDRE POUR SOLUTION POUR PERFUSION
RANITIL;150;COMPRIME PELLICULE
AXIMYCINE;250;POUDRE POUR SUSPENSION BUVABLE
LESCOL;40;GELULE
EXFORGE 10 MG/160 MG;10 / 160;COMPRIME PELLICULE
EXFORGE 10 MG/160 MG;10 / 160;COMPRIME PELLICULE
COLIMYCINE;1;POUDRE POUR SOLUTION INJECTABLE
ACLAV;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
PERMIXON;160;GELULE
SPECTRUM;0.3;SOLUTION POUR GOUTTE AURICULAIRE
SPECTRUM;0.3;SOLUTION POUR GOUTTE AURICULAIRE
FLIXOTIDE;125;SUSPENSION POUR INHALATION
OTORALGYL;1 / 0.25;SOLUTION POUR GOUTTE AURICULAIRE
ZAICAÏNE 2 % NORADRENALINE;38.412;SOLUTION INJECTABLE POUR USAGE DENTAIRE
VOGALENE;5;SUPPOSITOIRE
GONAL-F300;300;POUDRE POUR SOLUTION INJECTABLE
GONAL-F300;300;POUDRE POUR SOLUTION INJECTABLE
CELEBREX;100;GELULE
EUMOXOL 0.3%;0.3;SOLUTION BUVABLE
ELOXATINE 5 MG/ML;50;POUDRE POUR SOLUTION POUR PERFUSION
MICROPAKINE LP 750 MG;750;GRANULE LP
MICROPAKINE LP 750 MG;750;GRANULE LP
NO-DOL CODEINE 500MG/30MG;500 / 30;COMPRIME
NO-DOL CODEINE 500MG/30MG;500 / 30;COMPRIME
XYLATIN 50;50;POUDRE POUR SOLUTION POUR PERFUSION
GLIPHARM;5;COMPRIME SECABLE
ACIDE SLF283;;SOLUTE CONCENTRE
PANFUREX;200;GELULE
SIMVASTATINE GT;20;COMPRIME ENROBE
SIMVASTATINE GT;20;COMPRIME ENROBE
CIDERMEX;10 / 35000;POMMADE
ULTRALAN;250;POMMADE
VOGASET;8;SOLUTION A DILUER POUR PERFUSION
VALIUM;5;COMPRIME SECABLE
GALVUS MET 50MG/850MG;50 / 850;COMPRIME PELLICULE
ZOLAM;30;GELULE
JASMINE;3 / 30;COMPRIME PELLICULE
JASMINE;3 / 30;COMPRIME PELLICULE
BACTRIM FORT;800 / 160;COMPRIME SECABLE
CO-VALSARTAN WIN 80MG/12.5MG;80 / 12.5;COMPRIME PELLICULE
EPIDUO GEL;1/25;GEL
